roles,name:superuser,description:Have Access to All resources in the Apps,active:TRUE,
roles,name:standard,description:Have Access to Limited Features,active:TRUE,
roles,name:administrator,description:Have Access System Admin Privileges,active:TRUE,
roles,name:app_role,description:Have App CURD abilities,active:TRUE,
users,email:beimdegefu@gmail.com,password:default@123,disabled:FALSE,
features,name:login,description:login,active:TRUE,
features,name:check_login,description:check_login,active:TRUE,
features,name:create_user,description:create_user,active:TRUE,
features,name:get_users_list,description:get_users_list,active:TRUE,
features,name:update_user_detail,description:update_user_detail,active:TRUE,
features,name:delete_user,description:delete_user,active:TRUE,
features,name:activate_deactivate_user,description:activate_deactivate_user,active:TRUE,
features,name:get_user_roles,description:get_user_roles,active:TRUE,
features,name:update_user_role,description:update_user_role,active:TRUE,
features,name:delete_user_role,description:delete_user_role,active:TRUE,
features,name:create_role,description:create_role,active:TRUE,
features,name:update_role,description:update_role,active:TRUE,
features,name:delete_role,description:delete_role,active:TRUE,
features,name:activate_deactivate_role,description:activate_deactivate_role,active:TRUE,
features,name:create_feature,description:create_feature,active:TRUE,
features,name:update_feature_details,description:update_feature_details,active:TRUE,
features,name:activate_deactivate_feature,description:activate_deactivate_feature,active:TRUE,
features,name:delete_feature,description:delete_feature,active:TRUE,
features,name:map_feature_with_role,description:map_feature_with_role,active:TRUE,
features,name:map_feature_with_endpoints,description:map_feature_with_endpoints,active:TRUE,
features,name:auto_populate,description:auto_populate,active:TRUE,
features,name:get_list_of_endpoints,description:get_list_of_endpoints,active:TRUE,
features,name:create_page,description:create_page,active:TRUE,
features,name:activate_deactivate_page,description:activate_deactivate_page,active:TRUE,
features,name:map_features_with_page,description:map_features_with_page,active:TRUE,
features,name:create_app,description:create_app,active:TRUE,
features,name:activate_deactivate_app,description:activate_deactivate_app,active:TRUE,
features,name:map_features_with_app,description:map_features_with_app,active:TRUE,
features,name:get_app_secrete,description:get_app_secrete,active:TRUE,
features,name:list_app_users,description:list_app_users,active:TRUE,
app,name:BlueAdmin,description:SSO Role Based User Administration solution,active:TRUE,
pages,name:Login,app:BlueAdmin,active:TRUE,description:Login
pages,name:Home,app:BlueAdmin,active:TRUE,description:Home
pages,name:View Roles,app:BlueAdmin,active:TRUE,description:View Roles
pages,name:View Users,app:BlueAdmin,active:TRUE,description:View Users
pages,name:View Pages,app:BlueAdmin,active:TRUE,description:View Pages
pages,name:View Features,app:BlueAdmin,active:TRUE,description:View Features
pages,name:View Endpoints,app:BlueAdmin,active:TRUE,description:View Endpoints
pages,name:View Apps,app:BlueAdmin,active:TRUE,description:View Apps
rolefeatures,standard:login,,,
rolefeatures,standard:get_users_list,,,
rolefeatures,standard:check_login,,,
rolefeatures,standard:create_user,,,
rolefeatures,standard:update_user_detail,,,
rolefeatures,administrator:delete_user,,,
rolefeatures,administrator:activate_deactivate_user,,,
rolefeatures,administrator:get_user_roles,,,
rolefeatures,administrator:update_user_role,,,
rolefeatures,administrator:delete_user_role,,,
rolefeatures,administrator:create_role,,,
rolefeatures,administrator:update_role,,,
rolefeatures,administrator:delete_role,,,
rolefeatures,administrator:activate_deactivate_role,,,
rolefeatures,administrator:create_feature,,,
rolefeatures,administrator:update_feature_details,,,
rolefeatures,administrator:activate_deactivate_feature,,,
rolefeatures,administrator:delete_feature,,,
rolefeatures,administrator:map_feature_with_role,,,
rolefeatures,administrator:map_feature_with_endpoints,,,
rolefeatures,administrator:auto_populate,,,
rolefeatures,administrator:get_list_of_endpoints,,,
rolefeatures,administrator:create_page,,,
rolefeatures,administrator:activate_deactivate_page,,,
rolefeatures,administrator:map_features_with_page,,,
rolefeatures,administrator:create_app,,,
rolefeatures,administrator:activate_deactivate_app,,,
rolefeatures,administrator:map_features_with_app,,,
rolefeatures,app_role:check_login,,,
rolefeatures,app_role:get_app_secrete,,,
rolefeatures,app_role:list_app_users,,,
approles,BlueAdmin:superuser,,,
approles,BlueAdmin:standard,,,
approles,BlueAdmin:administrator,,,
approles,BlueAdmin:app_role,,,
pagefeatures,Login:login,,,
pagefeatures,Login:check_login,,,
pagefeatures,View Users:create_user,,,
pagefeatures,View Users:get_users_list,,,
pagefeatures,View Users:update_user_detail,,,
pagefeatures,View Users:delete_user,,,
pagefeatures,View Users:activate_deactivate_user,,,
pagefeatures,View Users:get_user_roles,,,
pagefeatures,View Roles:update_user_role,,,
pagefeatures,View Roles:delete_user_role,,,
pagefeatures,View Roles:create_role,,,
pagefeatures,View Roles:update_role,,,
pagefeatures,View Roles:delete_role,,,
pagefeatures,View Roles:activate_deactivate_role,,,
pagefeatures,View Features:create_feature,,,
pagefeatures,View Features:update_feature_details,,,
pagefeatures,View Features:activate_deactivate_feature,,,
pagefeatures,View Features:delete_feature,,,
pagefeatures,View Features:map_feature_with_role,,,
pagefeatures,View Features:map_feature_with_endpoints,,,
pagefeatures,View Endpoints:get_list_of_endpoints,,,
pagefeatures,View Pages:create_page,,,
pagefeatures,View Pages:activate_deactivate_page,,,
pagefeatures,View Pages:map_features_with_page,,,
pagefeatures,View Apps:create_app,,,
pagefeatures,View Apps:activate_deactivate_app,,,
pagefeatures,View Apps:map_features_with_app,,,
pagefeatures,View Apps:get_app_secrete,,,
pagefeatures,View Apps:list_app_users,,,
